InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
581266,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12,08/12/11 11:25,2.1,12621,Germany
566601,85099F,JUMBO BAG STRAWBERRY,1,13/09/11 15:57,2.08,16469,United Kingdom
576617,23198,PANTRY MAGNETIC  SHOPPING LIST,2,15/11/11 16:57,3.29,,United Kingdom
577854,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,22/11/11 11:14,2.55,16128,United Kingdom
568915,23082,SET 6 PAPER TABLE LANTERN HEARTS ,6,29/09/11 13:56,3.75,14948,United Kingdom
549154,22840,ROUND CAKE TIN VINTAGE RED,2,06/04/11 16:47,7.95,17690,United Kingdom
550471,22197,SMALL POPCORN HOLDER,19,18/04/11 13:52,1.63,,United Kingdom
574714,22989,SET 2 PANTRY DESIGN TEA TOWELS,2,06/11/11 14:29,3.25,15427,United Kingdom
544676,79321,CHILLI LIGHTS,2,22/02/11 16:03,5.75,17841,United Kingdom
576059,22428,ENAMEL FIRE BUCKET CREAM,2,13/11/11 15:19,6.95,15411,United Kingdom
561870,22244,3 HOOK HANGER MAGIC GARDEN,12,31/07/11 11:45,1.95,14911,EIRE
550638,22229,BUNNY WOODEN PAINTED WITH FLOWER ,1,19/04/11 15:44,1.63,,United Kingdom
581000,22627,MINT KITCHEN SCALES,2,07/12/11 8:03,8.5,12720,Germany
581217,21094,SET/6 RED SPOTTY PAPER PLATES,7,08/12/11 9:20,0.83,,United Kingdom
550802,15036,ASSORTED COLOURS SILK FAN,12,20/04/11 15:21,0.83,17120,United Kingdom
551517,21993,FLORAL FOLK STATIONERY SET,3,01/05/11 11:14,2.95,16931,United Kingdom
540418,85017B,ENVELOPE 50 BLOSSOM IMAGES,1,07/01/11 11:04,0.85,,United Kingdom
564756,23298,SPOTTY BUNTING,3,30/08/11 10:33,10.79,,United Kingdom
570455,22555,PLASTERS IN TIN STRONGMAN,1,10/10/11 15:27,1.65,14529,United Kingdom
575978,22423,REGENCY CAKESTAND 3 TIER,16,13/11/11 13:27,10.95,15903,United Kingdom
C564945,20685,DOORMAT RED RETROSPOT,-10,31/08/11 13:26,6.75,16652,United Kingdom
573137,22633,HAND WARMER UNION JACK,2,27/10/11 17:15,4.13,,United Kingdom
551174,84913B,MINT GREEN ROSE TOWEL,1,26/04/11 17:02,3.29,,United Kingdom
566297,20727,LUNCH BAG  BLACK SKULL.,4,11/09/11 15:50,1.65,16794,United Kingdom
550520,22555,PLASTERS IN TIN STRONGMAN,12,19/04/11 9:43,1.65,16170,United Kingdom
544928,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,24/02/11 18:07,1.63,,United Kingdom
553718,15056N,EDWARDIAN PARASOL NATURAL,1,18/05/11 16:14,12.46,,United Kingdom
547914,POST,POSTAGE,1,28/03/11 12:35,18,12594,Italy
570672,22748,POPPY'S PLAYHOUSE KITCHEN,6,11/10/11 14:52,2.1,12536,France
560225,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1,15/07/11 16:27,2.46,,United Kingdom
577174,22723,SET OF 6 HERB TINS SKETCHBOOK,1,18/11/11 10:58,3.95,17841,United Kingdom
576081,23581,JUMBO BAG PAISLEY PARK,10,14/11/11 8:16,2.08,15203,United Kingdom
569414,22631,CIRCUS PARADE LUNCH BOX ,4,04/10/11 10:11,4.13,,United Kingdom
565847,21864,UNION JACK FLAG PASSPORT COVER ,1,07/09/11 12:44,4.13,,United Kingdom
574074,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,02/11/11 15:33,3.29,,United Kingdom
555094,22191,IVORY DINER WALL CLOCK,2,31/05/11 13:17,8.5,13398,United Kingdom
568221,23111,PARISIENNE SEWING BOX,1,26/09/11 10:05,12.5,14911,EIRE
554557,84978,HANGING HEART JAR T-LIGHT HOLDER,12,25/05/11 10:12,1.25,15804,United Kingdom
C565050,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,-2,31/08/11 17:10,4.95,12381,Norway
570356,22230,JIGSAW TREE WITH WATERING CAN,240,10/10/11 12:30,0.29,15330,United Kingdom
555819,22682,FRENCH BLUE METAL DOOR SIGN 7,10,07/06/11 12:00,1.25,15073,United Kingdom
549537,22257,FELT FARM ANIMAL SHEEP,1,08/04/11 17:22,1.25,,United Kingdom
578488,20985,HEART CALCULATOR,1,24/11/11 12:53,1.25,12784,Portugal
575875,21871,SAVE THE PLANET MUG,1,11/11/11 13:06,3.29,,United Kingdom
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,01/12/10 8:45,2.95,12583,France
571441,22903,CALENDAR FAMILY FAVOURITES,3,17/10/11 13:31,2.46,14096,United Kingdom
552277,22109,FULL ENGLISH BREAKFAST PLATE,1,08/05/11 12:34,3.75,13642,United Kingdom
574260,22283,6 EGG HOUSE PAINTED WOOD,4,03/11/11 13:58,7.95,13014,United Kingdom
548664,21441,BLUE BIRDHOUSE DECORATION,12,01/04/11 14:45,0.85,14911,EIRE
552671,21078,SET/20 STRAWBERRY PAPER NAPKINS ,6,10/05/11 15:06,2.46,,United Kingdom
548663,21731,RED TOADSTOOL LED NIGHT LIGHT,1,01/04/11 14:44,4.13,,United Kingdom
573909,23336,EGG FRYING PAN PINK ,1,01/11/11 15:26,2.08,17813,United Kingdom
558904,84569A,PACK 3 IRON ON DOG PATCHES,4,04/07/11 16:18,0.83,,United Kingdom
571030,23200,JUMBO BAG PEARS,10,13/10/11 12:26,2.08,12876,Belgium
568531,23546,WRAP PAISLEY PARK ,25,27/09/11 13:49,0.42,16713,United Kingdom
541010,21448,12 DAISY PEGS IN WOOD BOX,12,13/01/11 11:05,1.65,14114,United Kingdom
577804,23127,FELTCRAFT GIRL NICOLE KIT,1,21/11/11 17:33,4.95,17432,United Kingdom
580598,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,8,05/12/11 11:05,7.95,17526,United Kingdom
539243,21181,PLEASE ONE PERSON METAL SIGN,2,16/12/10 13:21,2.1,18116,United Kingdom
568589,22361,GLASS JAR DAISY FRESH COTTON WOOL,6,28/09/11 10:27,2.95,17405,United Kingdom
564840,22449,SILK PURSE BABUSHKA PINK,2,30/08/11 12:49,2.46,,United Kingdom
570333,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,10/10/11 12:19,2.95,18126,United Kingdom
553387,22873,NUMBER TILE COTTAGE GARDEN 5,1,16/05/11 16:33,4.13,,United Kingdom
581492,35970,ZINC FOLKART SLEIGH BELLS,1,09/12/11 10:03,4.13,,United Kingdom
553890,DOT,DOTCOM POSTAGE,1,19/05/11 16:32,167.03,,United Kingdom
577317,22555,PLASTERS IN TIN STRONGMAN,1,18/11/11 13:33,1.65,16426,United Kingdom
552532,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12,10/05/11 9:39,1.69,15615,United Kingdom
542349,22030,SWALLOWS GREETING CARD,12,27/01/11 12:10,0.42,15513,United Kingdom
546007,22134,MINI LADLE LOVE HEART RED ,2,08/03/11 15:34,0.83,,United Kingdom
579550,22797,CHEST OF DRAWERS GINGHAM HEART ,1,30/11/11 10:48,16.95,12630,Finland
581251,22727,ALARM CLOCK BAKELIKE RED ,4,08/12/11 11:02,3.75,18210,United Kingdom
559422,15056BL,EDWARDIAN PARASOL BLACK,3,08/07/11 12:00,5.95,12553,France
564322,20992,JAZZ HEARTS PURSE NOTEBOOK,288,24/08/11 13:23,0.39,13694,United Kingdom
564184,22961,JAM MAKING SET PRINTED,12,23/08/11 15:11,1.45,,EIRE
546538,22384,LUNCH BAG PINK POLKADOT,10,14/03/11 14:51,1.65,16327,United Kingdom
562711,22385,JUMBO BAG SPACEBOY DESIGN,1,08/08/11 14:53,2.08,16788,United Kingdom
580527,23206,LUNCH BAG APPLE DESIGN,1,04/12/11 15:19,1.65,13736,United Kingdom
539451,22078,RIBBON REEL LACE DESIGN ,5,17/12/10 16:59,4.21,,United Kingdom
558107,23091,ZINC HERB GARDEN CONTAINER,2,26/06/11 15:09,6.25,17811,United Kingdom
576559,23312,VINTAGE CHRISTMAS GIFT SACK,3,15/11/11 13:19,4.15,14711,United Kingdom
551417,20974,12 PENCILS SMALL TUBE SKULL,24,28/04/11 13:41,0.65,15632,United Kingdom
569374,22118,JOY WOODEN BLOCK LETTERS,1,03/10/11 16:14,11.63,,United Kingdom
553575,23118,PARISIENNE JEWELLERY DRAWER ,2,18/05/11 10:08,7.5,18260,United Kingdom
544396,62094B,,-92,18/02/11 12:16,0,,United Kingdom
559068,85127,SMALL SQUARE CUT GLASS CANDLESTICK,2,06/07/11 10:41,4.95,17841,United Kingdom
561900,22726,ALARM CLOCK BAKELIKE GREEN,3,31/07/11 15:31,3.75,16655,United Kingdom
561085,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,25/07/11 9:26,2.08,14367,United Kingdom
551946,22502,PICNIC BASKET WICKER SMALL,16,05/05/11 11:18,4.95,18229,United Kingdom
581492,22209,WOOD STAMP SET HAPPY BIRTHDAY,1,09/12/11 10:03,3.29,,United Kingdom
540248,22670,FRENCH WC SIGN BLUE METAL,4,05/01/11 15:57,1.25,15034,United Kingdom
562571,22055,MINI CAKE STAND  HANGING STRAWBERY,1,07/08/11 12:21,1.65,13782,United Kingdom
581134,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1,07/12/11 13:12,0.79,16368,United Kingdom
550636,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,19/04/11 15:37,4.13,,United Kingdom
573906,23344,JUMBO BAG 50'S CHRISTMAS ,20,01/11/11 15:12,2.08,16458,United Kingdom
578940,82583,HOT BATHS METAL SIGN,4,27/11/11 13:18,4.96,,United Kingdom
578783,22608,PENS ASSORTED FUNKY JEWELED ,36,25/11/11 11:58,0.19,12748,United Kingdom
574923,21788,KIDS RAIN MAC BLUE,2,07/11/11 16:40,0.85,17757,United Kingdom
562374,23175,REGENCY MILK JUG PINK ,48,04/08/11 14:40,2.75,14911,EIRE
575706,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2,10/11/11 17:13,2.08,14713,United Kingdom
540524,82600,NO SINGING METAL SIGN,7,09/01/11 12:53,2.1,16735,United Kingdom
559654,22384,LUNCH BAG PINK POLKADOT,20,11/07/11 12:54,1.65,13098,United Kingdom
560024,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,14/07/11 13:00,8.95,15005,United Kingdom
572049,23472, NINE DRAWER OFFICE TIDY,1,20/10/11 12:21,14.95,17243,United Kingdom
545654,21313,GLASS HEART T-LIGHT HOLDER ,24,04/03/11 13:46,0.85,15681,United Kingdom
549914,22908,PACK OF 20 NAPKINS RED APPLES,24,13/04/11 9:32,0.85,14931,Channel Islands
556108,23169,CLASSIC GLASS COOKIE JAR,3,08/06/11 17:59,8.29,,United Kingdom
537666,85040A,S/4 PINK FLOWER CANDLES IN BOWL,2,07/12/10 18:36,3.36,,United Kingdom
552310,84992,72 SWEETHEART FAIRY CAKE CASES,3,08/05/11 15:22,0.55,17323,United Kingdom
550034,22025,RING OF ROSES BIRTHDAY CARD,12,14/04/11 11:48,0.42,16187,United Kingdom
568185,22614,PACK OF 12 SPACEBOY TISSUES,1,25/09/11 14:08,0.39,16594,United Kingdom
538849,85053,FRENCH ENAMEL CANDLEHOLDER,2,14/12/10 13:31,2.1,14415,United Kingdom
579155,20618,QUEEN OF THE SKIES PASSPORT COVER ,1,28/11/11 13:37,2.1,18101,United Kingdom
544795,21592,RETROSPOT CIGAR BOX MATCHES ,24,23/02/11 13:21,1.25,15858,United Kingdom
580374,82552,WASHROOM METAL SIGN,24,02/12/11 17:12,1.45,17584,United Kingdom
550612,84569A,PACK 3 IRON ON DOG PATCHES,2,19/04/11 12:26,1.25,14662,United Kingdom
576074,22865,HAND WARMER OWL DESIGN,12,13/11/11 16:14,2.1,13178,United Kingdom
537440,22095,LADS ONLY TISSUE BOX,1,06/12/10 17:16,1.25,17869,United Kingdom
559055,22280,POCKET BAG PINK PAISELY BROWN SPOT,11,05/07/11 17:09,0.83,,United Kingdom
544316,22294,HEART FILIGREE DOVE  SMALL,24,17/02/11 14:49,1.25,16556,United Kingdom
577814,23311,VINTAGE CHRISTMAS STOCKING ,6,22/11/11 9:16,2.55,15106,United Kingdom
553942,82482,WOODEN PICTURE FRAME WHITE FINISH,12,20/05/11 10:37,2.55,18055,United Kingdom
578931,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,27/11/11 12:40,0.85,16942,United Kingdom
536401,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,01/12/10 11:21,2.1,15862,United Kingdom
563439,22417,PACK OF 60 SPACEBOY CAKE CASES,3,16/08/11 13:05,2.08,,United Kingdom
538827,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",20,14/12/10 12:59,0.42,14298,United Kingdom
566312,23407,SET OF 2 TRAYS HOME SWEET HOME,2,12/09/11 9:43,9.95,16150,United Kingdom
557853,22568,FELTCRAFT CUSHION OWL,4,23/06/11 11:01,3.75,16258,United Kingdom
557489,23200,JUMBO BAG PEARS,10,20/06/11 14:58,2.08,12490,France
547964,21397,BLUE POLKADOT EGG CUP ,2,28/03/11 15:45,1.63,,United Kingdom
576910,35598D,PINK/WHITE CHRISTMAS TREE 60CM,24,17/11/11 9:51,0.65,12477,Germany
561658,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,28/07/11 16:06,4.95,12743,Unspecified
560086,20770,ABSTRACT CIRCLE JOURNAL ,6,14/07/11 16:35,2.55,15839,United Kingdom
567338,21499,BLUE POLKADOT WRAP,25,19/09/11 15:00,0.42,14146,United Kingdom
547830,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1,25/03/11 15:50,5.79,,United Kingdom
560434,20771,CHRYSANTHEMUM  JOURNAL,3,18/07/11 15:56,2.46,,United Kingdom
539434,21790,VINTAGE SNAP CARDS,3,17/12/10 14:41,1.66,,United Kingdom
579546,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,30/11/11 10:37,2.08,,United Kingdom
554812,22356,CHARLOTTE BAG PINK POLKADOT,6,26/05/11 13:21,0.85,15005,United Kingdom
546528,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,14/03/11 13:04,6.75,15311,United Kingdom
556527,M,Manual,4,13/06/11 11:33,1.65,16205,United Kingdom
578347,22468,BABUSHKA LIGHTS STRING OF 10,1,24/11/11 9:26,13.29,,United Kingdom
559316,20712,JUMBO BAG WOODLAND ANIMALS,10,07/07/11 13:54,2.08,12647,Germany
553463,23070,EDWARDIAN HEART PHOTO FRAME,4,17/05/11 11:02,4.15,13488,United Kingdom
581492,21812,GARLAND WITH HEARTS AND BELLS,7,09/12/11 10:03,3.29,,United Kingdom
577745,23504,PLAYING CARDS JUBILEE UNION JACK,24,21/11/11 14:06,1.25,18139,United Kingdom
543985,22138,BAKING SET 9 PIECE RETROSPOT ,1,15/02/11 9:44,10.79,,United Kingdom
564760,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,30/08/11 10:47,1.25,,United Kingdom
559337,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,1,07/07/11 16:27,1.63,,United Kingdom
546896,21401,BLUE PUDDING SPOON,4,17/03/11 18:24,0.42,,United Kingdom
571221,23452,HEART MINI PORTRAIT FRAME,6,14/10/11 13:35,1.95,16416,United Kingdom
554310,21843,RED RETROSPOT CAKE STAND,1,23/05/11 15:25,20.79,,United Kingdom
544070,22698,PINK REGENCY TEACUP AND SAUCER,6,15/02/11 14:19,2.95,15370,United Kingdom
557805,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,23/06/11 10:27,8.5,17651,United Kingdom
560694,85099F,JUMBO BAG STRAWBERRY,20,20/07/11 12:05,2.08,12757,Portugal
538683,22155,STAR DECORATION RUSTIC,48,13/12/10 17:40,0.42,14525,United Kingdom
558096,22969,HOMEMADE JAM SCENTED CANDLES,12,26/06/11 13:24,1.45,15532,United Kingdom
580136,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,01/12/11 19:42,3.95,17841,United Kingdom
546008,20931,BLUE POT PLANT CANDLE ,1,08/03/11 15:43,7.46,,United Kingdom
565847,23171,REGENCY TEA PLATE GREEN ,1,07/09/11 12:44,3.29,,United Kingdom
537638,22963,JAM JAR WITH GREEN LID,1,07/12/10 15:28,1.66,,United Kingdom
545024,21625,VINTAGE UNION JACK APRON,1,25/02/11 14:38,14.13,,United Kingdom
562113,85116,BLACK CANDELABRA T-LIGHT HOLDER,20,02/08/11 16:11,1.63,,United Kingdom
576837,15036,ASSORTED COLOURS SILK FAN,1,16/11/11 15:16,1.63,,United Kingdom
556108,84459A,PINK METAL CHICKEN HEART ,1,08/06/11 17:59,3.29,,United Kingdom
544278,79321,CHILLI LIGHTS,4,17/02/11 12:01,5.75,15382,United Kingdom
571934,23445,ICE CREAM BUBBLES,20,20/10/11 8:21,0.83,16170,United Kingdom
567424,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,20/09/11 11:16,3.75,16369,United Kingdom
541854,20719,WOODLAND CHARLOTTE BAG,1,23/01/11 14:58,0.85,18283,United Kingdom
557311,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,19/06/11 15:36,4.95,15700,United Kingdom
574950,22273,FELTCRAFT DOLL MOLLY,1,08/11/11 9:29,5.79,,United Kingdom
540995,22572,ROCKING HORSE GREEN CHRISTMAS ,3,13/01/11 9:30,1.63,,United Kingdom
564840,22355,CHARLOTTE BAG SUKI DESIGN,2,30/08/11 12:49,1.63,,United Kingdom
570672,20675,BLUE POLKADOT BOWL,8,11/10/11 14:52,1.25,12536,France
564230,22367,CHILDRENS APRON SPACEBOY DESIGN,3,24/08/11 10:22,4.96,,United Kingdom
537065,21555,CERAMIC STRAWBERRY TRINKET TRAY,6,05/12/10 11:57,2.55,12567,France
575176,23204,CHARLOTTE BAG APPLES DESIGN,2,08/11/11 18:29,1.63,,United Kingdom
567477,21774,DECORATIVE CATS BATHROOM BOTTLE,3,20/09/11 13:20,1.25,16327,United Kingdom
539050,22093,MOTORING TISSUE BOX,1,15/12/10 16:21,1.25,12577,France
555496,22705,WRAP GREEN PEARS ,25,03/06/11 14:44,0.42,15405,United Kingdom
570871,22818,CARD CHRISTMAS VILLAGE,20,12/10/11 16:36,0.42,,United Kingdom
566950,22662,LUNCH BAG DOLLY GIRL DESIGN,10,15/09/11 16:34,1.65,17594,United Kingdom
568670,22834,HAND WARMER BABUSHKA DESIGN,2,28/09/11 13:07,2.1,14978,United Kingdom
565231,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,02/09/11 9:26,1.25,,United Kingdom
579668,20750,RED RETROSPOT MINI CASES,2,30/11/11 12:32,7.95,15152,United Kingdom
554039,22493,PAINT YOUR OWN CANVAS SET,24,20/05/11 14:27,1.65,15095,United Kingdom
554098,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,6,22/05/11 13:01,1.25,14769,United Kingdom
578936,23551,PACK OF 12 PAISLEY PARK TISSUES ,1,27/11/11 13:00,0.39,16923,United Kingdom
553726,22970,LONDON BUS COFFEE MUG,36,18/05/11 16:52,2.1,16681,United Kingdom
574686,21209,MULTICOLOUR HONEYCOMB FAN,5,06/11/11 13:00,0.39,17608,United Kingdom
562603,22023,EMPIRE BIRTHDAY CARD,12,08/08/11 10:40,0.42,17870,United Kingdom
542634,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,31/01/11 10:42,9.95,15448,United Kingdom
575477,22607,WOODEN ROUNDERS GARDEN SET ,1,09/11/11 16:14,16.63,,United Kingdom
549295,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,1,07/04/11 19:49,2.46,,United Kingdom
578251,22419,LIPSTICK PEN RED,3,23/11/11 12:45,0.42,15993,United Kingdom
554016,21828,EIGHT PIECE SNAKE  SET,1,20/05/11 13:14,1.25,13243,United Kingdom
537240,21915,RED  HARMONICA IN BOX ,2,06/12/10 10:08,2.51,,United Kingdom
541985,22750,FELTCRAFT PRINCESS LOLA DOLL,1,24/01/11 15:52,3.75,15052,United Kingdom
566441,21240,BLUE POLKADOT CUP,8,12/09/11 15:23,0.85,17719,United Kingdom
537638,22365,DOORMAT RESPECTABLE HOUSE,1,07/12/10 15:28,14.43,,United Kingdom
556797,23207,LUNCH BAG ALPHABET DESIGN,10,14/06/11 14:49,1.65,17101,United Kingdom
575325,21329,DINOSAURS  WRITING SET ,2,09/11/11 13:46,1.65,17293,United Kingdom
568999,85199S,SMALL HANGING IVORY/RED WOOD BIRD,24,29/09/11 17:34,0.42,15949,United Kingdom
C539258,21258,VICTORIAN SEWING BOX LARGE,-2,16/12/10 14:30,10.95,16233,United Kingdom
552467,23207,LUNCH BAG ALPHABET DESIGN,10,09/05/11 15:29,1.65,15249,United Kingdom
572669,23322,LARGE WHITE HEART OF WICKER,1,25/10/11 13:10,2.95,16549,United Kingdom
550997,21932,SCANDINAVIAN PAISLEY PICNIC BAG,10,26/04/11 9:04,1.65,17735,United Kingdom
540859,22192,BLUE DINER WALL CLOCK,1,12/01/11 10:58,8.5,17965,United Kingdom
574707,23208,LUNCH BAG VINTAGE LEAF DESIGN,100,06/11/11 14:08,1.45,17107,United Kingdom
568716,22625,RED KITCHEN SCALES,1,28/09/11 16:13,16.63,,United Kingdom
564558,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,26/08/11 8:59,0.85,12704,Finland
542925,20971,PINK BLUE FELT CRAFT TRINKET BOX,24,02/02/11 9:39,1.25,14457,United Kingdom
579508,21242,RED RETROSPOT PLATE ,1,29/11/11 16:33,3.29,,United Kingdom
572669,22119,PEACE WOODEN BLOCK LETTERS,1,25/10/11 13:10,6.95,16549,United Kingdom
537209,71459,HANGING JAM JAR T-LIGHT HOLDER,24,05/12/10 15:12,0.85,14606,United Kingdom
565447,22652,TRAVEL SEWING KIT,10,04/09/11 15:20,1.65,14107,United Kingdom
570225,22400,MAGNETS PACK OF 4 HOME SWEET HOME,1,09/10/11 13:15,0.39,16595,United Kingdom
576559,23570,TRADITIONAL PICK UP STICKS GAME ,1,15/11/11 13:19,1.25,14711,United Kingdom
540455,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,07/01/11 12:07,2.95,12583,France
577768,22617,BAKING SET SPACEBOY DESIGN,1,21/11/11 15:18,10.79,,United Kingdom
552337,23204,CHARLOTTE BAG APPLES DESIGN,10,09/05/11 11:34,0.85,12621,Germany
541684,21836,GINGHAM OVEN GLOVE RED HEART ,2,20/01/11 15:22,3.75,15498,United Kingdom
566757,21415,CLAM SHELL SMALL ,1,14/09/11 15:54,4.13,,United Kingdom
537819,21071,VINTAGE BILLBOARD DRINK ME MUG,24,08/12/10 13:55,1.25,15298,United Kingdom
579694,22109,FULL ENGLISH BREAKFAST PLATE,1,30/11/11 14:11,7.46,,United Kingdom
555865,23135,SMALL ZINC HEART WALL ORGANISER,1,07/06/11 14:30,5.75,14530,United Kingdom
572552,22697,GREEN REGENCY TEACUP AND SAUCER,3,24/10/11 17:07,5.79,14096,United Kingdom
539256,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,16/12/10 14:27,1.25,15601,United Kingdom
549740,21975,PACK OF 60 DINOSAUR CAKE CASES,24,12/04/11 9:49,0.55,15981,United Kingdom
573401,21059,PARTY INVITES DINOSAURS,12,30/10/11 15:43,0.85,12364,Belgium
539436,20972,PINK CREAM FELT CRAFT TRINKET BOX ,2,17/12/10 14:49,2.51,,United Kingdom
561065,21533,RETROSPOT LARGE MILK JUG,3,24/07/11 14:18,4.95,14180,United Kingdom
545063,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,27/02/11 14:26,2.25,14606,United Kingdom
